"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"/Game/VFX/WizardSpellsPack/Materials/M_CircleRainbow11a.M_CircleRainbow11a","0","169","0","1","10612","Compiling M_CircleRainbow11a: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Game/VFX/WizardSpellsPack/Materials/M_CircleRainbow11a.M_CircleRainbow11a","0","169","0","1","552","Compiling M_CircleRainbow11a: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Game/VFX/WizardSpellsPack/Materials/M_Noise53b.M_Noise53b","0","149","0","1","7268","Compiling M_Noise53b: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithNiagaraSprites,bUsedWithNiagaraMeshParticles}"
"/Game/VFX/WizardSpellsPack/Materials/M_Trail29a3.M_Trail29a3","0","129","0","1","5320","Compiling M_Trail29a3: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithNiagaraSprites}"
"/Game/VFX/WizardSpellsPack/Materials/M_Trail55bt.M_Trail55bt","0","149","0","1","6584","Compiling M_Trail55bt: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Game/PlayerCharacter/Materials/M_Mage_Eyes_Master.M_Mage_Eyes_Master","0","26","0","1","233","Compiling M_Mage_Eyes_Master: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/PlayerCharacter/Materials/M_Mage_armor_master.M_Mage_armor_master","0","92","0","1","2621","Compiling M_Mage_armor_master: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithMorphTargets,bUsedWithClothing}"
"/Game/MedievalDungeon/Materials/M_Candles_Master.M_Candles_Master","0","35","0","1","534","Compiling M_Candles_Master: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Subsurface, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting}, StaticSwitch'UseAOMap2-1'=False, StaticSwitch'UseMetalMask2-1'=False"
"/Game/MedievalDungeon/Materials/M_Candles_Master.M_Candles_Master","0","35","0","1","581","Compiling M_Candles_Master: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Subsurface, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting}, StaticSwitch'UseAOMap2-1'=True, StaticSwitch'UseMetalMask2-1'=False"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wispy_Dark_Smoke_Trail.M_Wispy_Dark_Smoke_Trail","0","10","0","1","64","Compiling M_Wispy_Dark_Smoke_Trail: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=1, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithBeamTrails}"
"/Game/AOE/Decals/Decal_AOE.Decal_AOE","0","23","0","1","224","Compiling Decal_AOE: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Game/VFX/WizardSpellsPack/sA_Megapack_v1/sA_Projectilevfx/Vfx/Materials/M_ABScrollNiagara.M_ABScrollNiagara","0","20","0","1","198","Compiling M_ABScrollNiagara: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Game/VFX/WizardSpellsPack/sA_Megapack_v1/sA_Projectilevfx/Vfx/Materials/M_AdditiveScrollNiagara.M_AdditiveScrollNiagara","0","20","0","1","197","Compiling M_AdditiveScrollNiagara: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
